Gene ID	Gene Name	Design Element	'non-small cell lung cancer' vs 'normal'.p-value	'non-small cell lung cancer' vs 'normal'.t-statistic	'non-small cell lung cancer' vs 'normal'.log2foldchange
ENSG00000177045	SIX5	229009_at	6.47876215934061e-07	5.68123747635597	0.4
ENSG00000177047	IFNW1	207817_at	0.167506901616054	1.60935517990505	0.1
ENSG00000177051	FBXO46	205310_at	1.02812485576179e-05	4.98367373924316	0.3
ENSG00000177054	ZDHHC13	219296_at	2.2368622621673e-13	9.07757279764619	1
ENSG00000177058	SLC38A9	235241_at	0.00316736551686559	3.30135897619633	0.3
ENSG00000177082	WDR73	213031_s_at	0.061903150300894	-2.13016062931361	-0.1
ENSG00000177084	POLE	216026_s_at	6.88956829216656e-14	9.33989765651021	0.7
ENSG00000177096	PHETA2	226504_at	0.555432954630488	0.738180789616807	0.1
ENSG00000177098	SCN4B	236359_at	2.77388718184156e-17	-11.0804300042356	-2.1
ENSG00000177103	DSCAML1	234908_s_at	0.604120254684443	0.657155076538245	0
ENSG00000177105	RHOG	203175_at	4.53475208046701e-07	-5.76914282382254	-0.4
ENSG00000177106	EPS8L2	218180_s_at	3.3432519744804e-06	-5.2735513288792	-0.8
ENSG00000177108	ZDHHC22	229875_at	0.735927320213342	-0.438899965827557	0
ENSG00000177112	IRAG1-AS1	231595_at	0.62372421651348	0.623736333203526	0
ENSG00000177119	ANO6	224906_at	5.37004874833693e-11	-7.85951216728608	-0.8
ENSG00000177125	ZBTB34	227111_at	8.02714867185501e-05	-4.42584595163607	-0.5
ENSG00000177133	PRDM16-DT	237108_x_at	0.396543964982314	-1.03183093382468	0
ENSG00000177138	FAM9B	1553461_at	NA	-0.638722176119115	0
ENSG00000177143	CETN1	207209_at	0.0583986355161996	2.158027772995	0.1
ENSG00000177150	FAM210A	235022_at	4.39440011549322e-12	8.41567876135415	1.2
ENSG00000177156	TALDO1	201463_s_at	3.89893363784785e-05	4.62607775154193	0.5
ENSG00000177169	ULK1	209333_at	5.23833437031193e-07	5.73392183831032	0.4
ENSG00000177181	RIMKLA	235948_at	0.77911332245673	-0.367683504602278	0
ENSG00000177182	CLVS1	230217_at	0.723449536747387	-0.459411504403248	0
ENSG00000177189	RPS6KA3	226335_at	3.17908009074081e-08	-6.40443313522217	-0.7
ENSG00000177191	B3GNT8	237338_at	1.0817886455149e-05	-4.96970447249499	-0.5
ENSG00000177192	PUS1	218670_at	1.47678020535734e-13	9.16953157979143	0.9
ENSG00000177200	CHD9	212616_at	6.4536546865504e-08	-6.23756900420815	-0.5
ENSG00000177202	SPACA4	231054_at	0.743290969416563	0.427026318909927	0
ENSG00000177225	GATD1	227968_at	0.00897245783160586	-2.93153428325292	-0.2
ENSG00000177234	LINC01561	236855_at	2.23628386788688e-05	4.77751450075955	0.2
ENSG00000177238	TRIM72	1554803_s_at	0.876923205798283	0.209088199528758	0
ENSG00000177239	MAN1B1	218636_s_at	1.49755630907784e-06	5.47555392777341	0.4
ENSG00000177283	FZD8	227405_s_at	0.660247690830969	0.563431687820359	0.1
ENSG00000177291	GJD4	234116_at	0.367257718372415	-1.08947564949711	0
ENSG00000177294	FBXO39	1552830_at	0.816393171549923	-0.307826929942842	0
ENSG00000177301	KCNA2	208564_at	0.111877396199378	1.83336984934212	0.1
ENSG00000177302	TOP3A	204946_s_at	1.69461726939073e-06	5.44390942837126	0.4
ENSG00000177303	CASKIN2	221846_s_at	3.99533500154248e-15	-9.96882564463331	-1.1
ENSG00000177311	ZBTB38	225512_at	0.949060276986266	-0.0889583103880087	0
ENSG00000177324	BEND2	1553842_at	0.894203087846972	-0.180395140799176	0
ENSG00000177335	C8orf31	1552793_at	0.673400380478338	0.542350010897681	0
ENSG00000177337	DLGAP1-AS1	238432_at	5.22132287984993e-06	-5.15943570209092	-0.5
ENSG00000177340	FLJ13224	220211_at	0.128950428583456	-1.75787278927827	-0.1
ENSG00000177354	C10orf71	232456_at	0.158534302983153	-1.64078447273534	-0.1
ENSG00000177363	LRRN4CL	1556427_s_at	2.76244350009757e-10	-7.492771649753	-1
ENSG00000177370	TIMM22	222841_s_at	0.137139078889184	1.7227121678853	0.1
ENSG00000177374	HIC1	230218_at	5.48494849412517e-06	-5.14679299315711	-0.8
ENSG00000177380	PPFIA3	213368_x_at	0.0977891036358237	1.90457687238062	0.1
ENSG00000177383	MAGEF1	218176_at	3.30187013792383e-18	11.5622270150923	1.1
