,pert_iname,pubchem_cid_list,canonical_smiles_list
84,AMN-082,['1894361'],['C(CNC(c1ccccc1)c1ccccc1)NC(c1ccccc1)c1ccccc1']
85,APEC,['73707600'],['CCNC(=O)C1OC([C@@H](O)[C@H]1O)n1cnc2c(N)nc(NCCc3ccc(CCC(=O)NCCN)cc3)nc12']
86,APHA-compound-8,['10379137'],['Cn1cc(cc1\\C=C\\C(=O)NO)C(=O)Cc1ccccc1']
87,APO-866,['9543513'],['O=C(CCc1cccnc1)NCCCCC1CCN(CC1)C(=O)c1ccccc1']
88,AQ-RA741,['129989'],['CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc23)CC1']
89,AR-A014418,['448014'],['COc1ccc(CNC(=O)Nc2ncc(s2)[N+]([O-])=O)cc1']
90,AR-C133057XX,['9797857'],['COc1ccnc(NC2CCN(CC2)C(=O)c2ccc(cc2)C#N)c1']
91,ARC-239,['609483'],['COc1ccccc1N1CCN(CCN2C(=O)c3ccccc3C(C)(C)C2=O)CC1']
92,ARG-A1-2,['2785467'],['[O-][N+](=O)c1c(Cl)c2ccccc2[nH]c1=O']
93,ARG-A1-22,['800654'],['[O-][N+](=O)c1c(Cl)c2ccccc2n(Cc2ccccc2)c1=O']
94,ARG-CSC-18,['47099517'],['COc1ccc(\\C=C\\C(=O)NC2=NCCS2)c(OC)c1']
95,ARG-CSC-22,['896331'],['Clc1ccc(/C=C/C(=O)NC2=NCCS2)cc1Cl']
96,ARG-CSC-26,['49843106'],['O=C(NC1=NCCS1)\\C=C\\c1ccc(cc1)-c1ccccc1']
97,ARG-CSC-81,['897475'],['Cc1ccc(/C=C/C(=O)NC2=NCCS2)cc1']
98,ARG-CSC-91,['50910523'],['CCc1ccc(cc1)\\C=C\\C(=O)NC1=NCCS1']
99,ARG-CSC2-23,['51003702'],['Cc1csc(NC(=O)c2ccc(COc3ccc(Cl)c(Cl)c3)o2)n1']
